Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Daulatabad Fort,Aurangabad,September,Monsoon,No,Humid,Low,Foreign Tourists,No,High,Low,Medium
Pratapgad Fort,Satara,February,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Low
Pratapgad Fort,Satara,May,Summer,No,Humid,Medium,Families,No,Medium,Low,Medium
Khandala,Pune,January,Winter,No,Cool,Medium,Students,No,Low,High,Medium
Ellora Caves,Aurangabad,July,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,Low,Low,Low
Ajanta Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,February,Winter,No,Pleasant,Medium,Couples,No,High,Low,High
Shirdi,Ahmednagar,March,Summer,No,Humid,Low,Families,No,Medium,Medium,High
Panchgani,Satara,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Medium,Low,High
Ajanta Caves,Aurangabad,October,Post-Monsoon,Yes,Pleasant,Low,Students,Yes,Medium,Low,Medium
Khandala,Pune,April,Summer,Yes,Warm,Medium,Couples,No,High,Low,Medium
Khandala,Pune,September,Monsoon,No,Rainy,High,Families,No,Low,Low,High
Lonavala,Pune,September,Monsoon,No,Humid,High,Families,Yes,Low,Low,High
Elephanta Caves,Mumbai,May,Summer,Yes,Warm,Medium,Solo Travelers,Yes,High,Low,High
Matheran,Raigad,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,May,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,High,Medium
Panchgani,Satara,July,Monsoon,Yes,Rainy,Medium,Families,Yes,Medium,Low,Medium
Lonavala,Pune,July,Monsoon,Yes,Humid,High,Foreign Tourists,No,Medium,Low,High
Khandala,Pune,April,Summer,No,Warm,Low,Solo Travelers,No,Medium,Low,Low
Ellora Caves,Aurangabad,March,Summer,Yes,Humid,Medium,Families,Yes,High,Low,Medium
Gateway of India,Mumbai,March,Summer,No,Hot,Low,Solo Travelers,Yes,Medium,Low,Low
Khandala,Pune,February,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,Low,High
Lonavala,Pune,April,Summer,Yes,Hot,Low,Families,No,Medium,High,Medium
Ajanta Caves,Aurangabad,March,Summer,No,Humid,Low,Students,Yes,Medium,Low,Medium
Gateway of India,Mumbai,December,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,Low
Panchgani,Satara,September,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,High
Raigad Fort,Raigad,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,Medium
Ajanta Caves,Aurangabad,August,Monsoon,Yes,Humid,Medium,Couples,Yes,Medium,Low,Medium
Pratapgad Fort,Satara,August,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,High
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,High
Lonavala,Pune,March,Summer,No,Hot,Low,Couples,No,Medium,Medium,High
Khandala,Pune,May,Summer,Yes,Warm,Medium,Students,No,High,Low,High
Shani Shingnapur,Ahmednagar,June,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,Low,High,Medium
Sindhudurg Fort,Sindhudurg,April,Summer,No,Hot,Low,Students,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Families,No,High,Low,Low
Shirdi,Ahmednagar,June,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,High,Low
Raigad Fort,Raigad,September,Monsoon,No,Humid,Low,Couples,No,Low,Medium,Low
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Aga Khan Palace,Pune,March,Summer,No,Warm,Low,Families,No,Medium,Low,Medium
Khandala,Pune,May,Summer,No,Hot,Low,Foreign Tourists,No,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,High,Medium
Khandala,Pune,April,Summer,Yes,Hot,Medium,Couples,No,High,Low,Low
Elephanta Caves,Mumbai,January,Winter,No,Cool,Medium,Foreign Tourists,Yes,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Low,Low,Low
Raigad Fort,Raigad,January,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,High
Raigad Fort,Raigad,November,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,Low
Ajanta Caves,Aurangabad,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,Medium,Medium
Daulatabad Fort,Aurangabad,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Medium
Gateway of India,Mumbai,July,Monsoon,Yes,Rainy,High,Students,No,Medium,Low,Low
Mahabaleshwar,Satara,April,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,Low
Shirdi,Ahmednagar,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Low,High,Medium
Tarkarli Beach,Sindhudurg,August,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Medium,High
Panchgani,Satara,August,Monsoon,No,Rainy,Low,Students,No,Low,High,High
Daulatabad Fort,Aurangabad,April,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,High
Daulatabad Fort,Aurangabad,May,Summer,No,Warm,Low,Couples,No,Medium,Low,Medium
Kaas Plateau,Satara,September,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,High
Lonavala,Pune,May,Summer,Yes,Warm,High,Students,No,High,Low,High
Lonavala,Pune,February,Winter,No,Cool,Medium,Couples,No,Low,Low,Low
Kaas Plateau,Satara,November,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Medium,High
Ajanta Caves,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Students,No,High,Low,High
Kaas Plateau,Satara,June,Monsoon,No,Rainy,High,Students,No,Low,Low,High
Matheran,Raigad,June,Monsoon,No,Rainy,High,Couples,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,February,Winter,No,Cool,Medium,Foreign Tourists,No,Low,High,Medium
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,High,Low
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,No,Pleasant,Medium,Students,No,High,High,Low
Khandala,Pune,April,Summer,No,Humid,Low,Couples,Yes,Medium,Low,Low
Kaas Plateau,Satara,December,Winter,Yes,Cool,Low,Solo Travelers,No,Medium,Low,High
Lonavala,Pune,May,Summer,No,Warm,Low,Couples,No,Medium,Low,Low
Gateway of India,Mumbai,November,Post-Monsoon,No,Pleasant,High,Families,Yes,Low,Low,Low
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,Low,Medium
Bhimashankar Temple,Pune,October,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,High,Low
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,High,High
Daulatabad Fort,Aurangabad,October,Post-Monsoon,Yes,Clear,Low,Students,No,Low,Medium,Medium
Raigad Fort,Raigad,June,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Medium,Medium
Matheran,Raigad,June,Monsoon,No,Humid,Low,Families,Yes,High,Low,Medium
Tarkarli Beach,Sindhudurg,May,Summer,No,Warm,Low,Students,No,Medium,Low,High
Ajanta Caves,Aurangabad,June,Monsoon,No,Rainy,Low,Couples,No,High,Low,Medium
Kaas Plateau,Satara,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,April,Summer,No,Hot,Low,Foreign Tourists,No,Medium,Low,Low
Mahabaleshwar,Satara,June,Monsoon,Yes,Humid,High,Families,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Medium,Low
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,Yes,Clear,High,Families,Yes,Medium,Low,Low
Lonavala,Pune,January,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,Low
Khandala,Pune,April,Summer,No,Warm,Low,Students,No,Medium,Low,Medium
Mahabaleshwar,Satara,December,Winter,Yes,Pleasant,High,Families,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,May,Summer,Yes,Warm,Medium,Students,No,Low,High,Low
Khandala,Pune,September,Monsoon,No,Humid,High,Solo Travelers,No,Low,Low,High
Ajanta Caves,Aurangabad,October,Post-Monsoon,Yes,Clear,High,Couples,Yes,Medium,Low,High
Mahabaleshwar,Satara,March,Summer,Yes,Warm,Medium,Solo Travelers,No,High,Low,Low
Ajanta Caves,Aurangabad,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,Yes,Low,Low,High
Daulatabad Fort,Aurangabad,August,Monsoon,No,Rainy,Low,Students,Yes,Low,Low,Medium
Tarkarli Beach,Sindhudurg,August,Monsoon,Yes,Humid,Medium,Solo Travelers,No,High,Low,Medium
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,High,High
Ajanta Caves,Aurangabad,April,Summer,Yes,Warm,Medium,Foreign Tourists,Yes,High,Low,High
Raigad Fort,Raigad,April,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Low
Shirdi,Ahmednagar,March,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,Low
Ajanta Caves,Aurangabad,April,Summer,No,Warm,Low,Students,Yes,High,Low,Low
Khandala,Pune,July,Monsoon,No,Humid,Low,Families,No,Low,Low,Low
Shirdi,Ahmednagar,June,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Medium,Low
Elephanta Caves,Mumbai,December,Winter,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,Medium
Lonavala,Pune,August,Monsoon,No,Rainy,High,Solo Travelers,No,Low,Low,Medium
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,High
Trimbakeshwar Temple,Nashik,May,Summer,No,Hot,Low,Families,No,Medium,Low,Medium
Raigad Fort,Raigad,March,Summer,No,Warm,Low,Families,No,Medium,Low,High
Lonavala,Pune,March,Summer,No,Warm,Low,Students,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,December,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,High,High
Khandala,Pune,August,Monsoon,No,Humid,High,Foreign Tourists,No,Low,Low,Medium
Bhimashankar Temple,Pune,November,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Medium,High,High
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Low
Kaas Plateau,Satara,July,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Pratapgad Fort,Satara,June,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,Medium
Trimbakeshwar Temple,Nashik,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,Medium
Khandala,Pune,February,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,Low
Gateway of India,Mumbai,October,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,Low
Elephanta Caves,Mumbai,January,Winter,No,Cool,Medium,Foreign Tourists,Yes,Low,Low,Low
Bhimashankar Temple,Pune,December,Winter,Yes,Pleasant,Medium,Solo Travelers,No,High,Medium,Medium
Shani Shingnapur,Ahmednagar,December,Winter,Yes,Cool,High,Students,No,Medium,High,High
Raigad Fort,Raigad,April,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,December,Winter,Yes,Pleasant,High,Students,No,Medium,High,Low
Pratapgad Fort,Satara,October,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,Yes,Low,Low,High
Shirdi,Ahmednagar,May,Summer,No,Warm,Low,Students,No,Medium,High,High
Khandala,Pune,September,Monsoon,Yes,Rainy,High,Solo Travelers,No,Medium,Low,Low
Pratapgad Fort,Satara,March,Summer,Yes,Humid,Medium,Foreign Tourists,Yes,High,High,High
Raigad Fort,Raigad,October,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,Low
Panchgani,Satara,April,Summer,Yes,Warm,Low,Solo Travelers,No,High,Low,Medium
Ellora Caves,Aurangabad,May,Summer,No,Humid,Low,Students,Yes,Medium,Low,Low
Matheran,Raigad,November,Post-Monsoon,Yes,Pleasant,Low,Couples,No,Medium,Low,High
Khandala,Pune,October,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Low
Aga Khan Palace,Pune,June,Monsoon,Yes,Rainy,Medium,Couples,Yes,Medium,Low,High
Elephanta Caves,Mumbai,August,Monsoon,No,Humid,High,Solo Travelers,No,Low,Low,Medium
Shani Shingnapur,Ahmednagar,December,Winter,No,Pleasant,High,Solo Travelers,No,Low,Low,High
Shani Shingnapur,Ahmednagar,July,Monsoon,No,Humid,Low,Couples,No,Low,High,High
Raigad Fort,Raigad,March,Summer,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Aga Khan Palace,Pune,November,Post-Monsoon,No,Pleasant,Medium,Families,Yes,Low,Low,High
Shirdi,Ahmednagar,July,Monsoon,Yes,Humid,Low,Solo Travelers,No,Medium,High,High
Aga Khan Palace,Pune,October,Post-Monsoon,Yes,Pleasant,Low,Foreign Tourists,Yes,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,February,Winter,No,Pleasant,Medium,Solo Travelers,Yes,Low,Medium,Low
Matheran,Raigad,September,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,High
Tarkarli Beach,Sindhudurg,April,Summer,Yes,Hot,Medium,Foreign Tourists,Yes,High,Low,Medium
Sindhudurg Fort,Sindhudurg,January,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Low
Gateway of India,Mumbai,May,Summer,Yes,Warm,Medium,Foreign Tourists,Yes,High,Low,Medium
Kaas Plateau,Satara,August,Monsoon,No,Rainy,Medium,Families,No,Low,Low,High
Kaas Plateau,Satara,August,Monsoon,No,Rainy,Low,Families,No,Low,Low,Medium
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,No,Clear,High,Couples,No,Low,Medium,High
Bhimashankar Temple,Pune,January,Winter,No,Pleasant,Medium,Foreign Tourists,No,Medium,High,Low
Matheran,Raigad,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Medium
Aga Khan Palace,Pune,February,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,Medium
Ellora Caves,Aurangabad,June,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Kaas Plateau,Satara,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,Low
Shirdi,Ahmednagar,February,Winter,No,Cool,Medium,Families,No,Low,High,Medium
Ellora Caves,Aurangabad,December,Winter,No,Pleasant,Medium,Students,Yes,Low,Low,High
Matheran,Raigad,June,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,Medium
Ellora Caves,Aurangabad,June,Monsoon,No,Humid,High,Foreign Tourists,No,Low,Low,High
Panchgani,Satara,June,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Trimbakeshwar Temple,Nashik,January,Winter,No,Cool,High,Foreign Tourists,No,Low,High,Low
Panchgani,Satara,August,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,Medium
Pratapgad Fort,Satara,July,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,Low,Medium
Raigad Fort,Raigad,May,Summer,Yes,Warm,Medium,Students,No,High,Low,High
Shani Shingnapur,Ahmednagar,December,Winter,Yes,Cool,Medium,Families,No,Medium,High,Low
Ajanta Caves,Aurangabad,May,Summer,Yes,Warm,Low,Solo Travelers,Yes,High,Low,Low
Ajanta Caves,Aurangabad,February,Winter,No,Pleasant,Low,Solo Travelers,No,Low,Low,Medium
Ellora Caves,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Medium,Medium
Raigad Fort,Raigad,July,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Medium
Mahabaleshwar,Satara,September,Monsoon,Yes,Humid,High,Students,No,Medium,Low,Medium
Pratapgad Fort,Satara,November,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,Low,Low
Shirdi,Ahmednagar,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,High,Low
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Clear,High,Families,No,Low,Low,Medium
Ellora Caves,Aurangabad,September,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,High
Matheran,Raigad,December,Winter,No,Cool,Medium,Students,No,Low,Low,Low
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Pleasant,High,Families,Yes,Low,High,High
Mahabaleshwar,Satara,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,High
Shirdi,Ahmednagar,July,Monsoon,Yes,Humid,Medium,Couples,No,Medium,High,High
Raigad Fort,Raigad,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,High,Medium
Khandala,Pune,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Medium
Shirdi,Ahmednagar,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Medium,High,Low
Ajanta Caves,Aurangabad,October,Post-Monsoon,Yes,Clear,High,Couples,Yes,Medium,Low,Medium
Panchgani,Satara,February,Winter,No,Pleasant,Low,Students,No,High,Low,Medium
Bhimashankar Temple,Pune,December,Winter,No,Cool,High,Solo Travelers,No,Low,High,High
Lonavala,Pune,August,Monsoon,No,Rainy,High,Foreign Tourists,No,High,Low,Medium
Khandala,Pune,November,Post-Monsoon,Yes,Clear,Low,Students,No,Medium,Low,High
Ajanta Caves,Aurangabad,March,Summer,Yes,Hot,Medium,Solo Travelers,Yes,High,Low,Low
Ajanta Caves,Aurangabad,June,Monsoon,Yes,Rainy,Medium,Couples,No,High,Low,High
Ajanta Caves,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Medium,Low,Low
Pratapgad Fort,Satara,August,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,Medium
Raigad Fort,Raigad,March,Summer,No,Humid,Medium,Solo Travelers,No,Medium,Low,Low
Matheran,Raigad,December,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Aga Khan Palace,Pune,June,Monsoon,No,Humid,Low,Students,Yes,Low,Low,Medium
Kaas Plateau,Satara,April,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,High
Khandala,Pune,June,Monsoon,Yes,Rainy,High,Families,No,Medium,Low,Low
Pratapgad Fort,Satara,August,Monsoon,No,Humid,Low,Couples,No,Low,Medium,Medium
Shirdi,Ahmednagar,August,Monsoon,No,Rainy,Low,Families,Yes,Low,High,Low
Matheran,Raigad,August,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Low
Aga Khan Palace,Pune,November,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,Yes,Low,Low,Low
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Students,No,Low,Low,Medium
Panchgani,Satara,June,Monsoon,Yes,Rainy,Medium,Students,Yes,Medium,Low,High
Shirdi,Ahmednagar,February,Winter,Yes,Pleasant,High,Solo Travelers,No,Low,High,Medium
Elephanta Caves,Mumbai,February,Winter,No,Pleasant,Medium,Solo Travelers,Yes,Low,High,High
Tarkarli Beach,Sindhudurg,July,Monsoon,No,Humid,Medium,Families,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,May,Summer,No,Humid,Low,Solo Travelers,No,Medium,High,Medium
Bhimashankar Temple,Pune,September,Monsoon,No,Humid,Low,Solo Travelers,No,Low,High,High
Trimbakeshwar Temple,Nashik,January,Winter,Yes,Cool,High,Families,Yes,Medium,High,High
Daulatabad Fort,Aurangabad,December,Winter,No,Pleasant,Medium,Foreign Tourists,No,Medium,Low,Medium
Bhimashankar Temple,Pune,April,Summer,No,Humid,Low,Families,No,Medium,High,High
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,High,Low
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Low
Pratapgad Fort,Satara,June,Monsoon,No,Rainy,Low,Couples,No,Low,Low,High
Trimbakeshwar Temple,Nashik,May,Summer,No,Humid,Low,Families,No,Medium,High,Low
Ellora Caves,Aurangabad,July,Monsoon,No,Rainy,Low,Couples,No,Medium,Low,High
Panchgani,Satara,May,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,Medium
Gateway of India,Mumbai,May,Summer,No,Hot,Low,Solo Travelers,Yes,Medium,Low,Low
Mahabaleshwar,Satara,March,Summer,Yes,Humid,Medium,Families,No,High,Low,Low
Aga Khan Palace,Pune,February,Winter,Yes,Cool,Medium,Students,Yes,Medium,Low,Low
Aga Khan Palace,Pune,June,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Medium,High
Sindhudurg Fort,Sindhudurg,August,Monsoon,Yes,Rainy,Low,Students,No,Medium,Low,High
Gateway of India,Mumbai,December,Winter,No,Pleasant,High,Students,Yes,Low,Low,High
Panchgani,Satara,August,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Trimbakeshwar Temple,Nashik,April,Summer,Yes,Warm,Medium,Couples,No,High,High,Medium
Sindhudurg Fort,Sindhudurg,January,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Medium,Low
Tarkarli Beach,Sindhudurg,July,Monsoon,Yes,Rainy,High,Foreign Tourists,No,High,Low,Medium
Aga Khan Palace,Pune,September,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,High
Trimbakeshwar Temple,Nashik,June,Monsoon,No,Rainy,Medium,Foreign Tourists,No,Low,Low,Medium
Elephanta Caves,Mumbai,May,Summer,No,Warm,Low,Couples,No,Medium,Low,Low
Bhimashankar Temple,Pune,April,Summer,Yes,Humid,Medium,Couples,No,Medium,High,High
Kaas Plateau,Satara,May,Summer,No,Humid,Low,Families,Yes,Medium,Low,High
Lonavala,Pune,September,Monsoon,No,Humid,High,Foreign Tourists,No,Low,Low,High
Gateway of India,Mumbai,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Low
Pratapgad Fort,Satara,March,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Low
Bhimashankar Temple,Pune,January,Winter,No,Cool,Medium,Solo Travelers,No,Low,High,Medium
Mahabaleshwar,Satara,April,Summer,Yes,Hot,Medium,Families,No,Low,Low,Low
Bhimashankar Temple,Pune,January,Winter,Yes,Pleasant,High,Students,No,High,High,High
Gateway of India,Mumbai,January,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,August,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,High,Low,Medium
Lonavala,Pune,October,Post-Monsoon,Yes,Clear,High,Foreign Tourists,Yes,Medium,Low,High
Khandala,Pune,September,Monsoon,No,Rainy,High,Families,No,Low,Medium,Medium
Ajanta Caves,Aurangabad,April,Summer,No,Hot,Medium,Students,Yes,Medium,Low,Low
Pratapgad Fort,Satara,January,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Medium
Elephanta Caves,Mumbai,July,Monsoon,No,Humid,Low,Couples,No,Low,Low,Low
Shani Shingnapur,Ahmednagar,May,Summer,Yes,Hot,Medium,Students,No,High,Medium,Medium
Mahabaleshwar,Satara,April,Summer,No,Hot,Low,Students,No,Medium,Medium,High
Trimbakeshwar Temple,Nashik,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,High,Low
Sindhudurg Fort,Sindhudurg,May,Summer,No,Warm,Medium,Solo Travelers,No,Medium,Low,Medium
Panchgani,Satara,February,Winter,Yes,Cool,High,Solo Travelers,No,High,Low,Medium
Gateway of India,Mumbai,November,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,Yes,Low,Low,Low
Kaas Plateau,Satara,February,Winter,No,Cool,Low,Families,No,Low,Low,Medium
Lonavala,Pune,November,Post-Monsoon,No,Clear,Medium,Couples,No,High,Low,Medium
Shani Shingnapur,Ahmednagar,December,Winter,Yes,Pleasant,Medium,Families,No,Medium,High,Low
Matheran,Raigad,May,Summer,No,Humid,Low,Solo Travelers,Yes,Medium,Low,High
Sindhudurg Fort,Sindhudurg,September,Monsoon,No,Rainy,Low,Solo Travelers,Yes,Low,Low,High
Gateway of India,Mumbai,July,Monsoon,No,Humid,Low,Families,No,Low,Medium,High
Ellora Caves,Aurangabad,July,Monsoon,No,Humid,Low,Families,No,Medium,Low,High
Bhimashankar Temple,Pune,October,Post-Monsoon,Yes,Clear,Medium,Couples,No,Medium,High,Medium
Panchgani,Satara,December,Winter,Yes,Pleasant,High,Families,No,High,Low,Low
Lonavala,Pune,July,Monsoon,No,Rainy,High,Couples,Yes,High,Low,Medium
Aga Khan Palace,Pune,July,Monsoon,No,Humid,Low,Students,No,Low,Low,High
Khandala,Pune,April,Summer,Yes,Humid,Medium,Families,Yes,High,Low,Low
Khandala,Pune,February,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,Low
Khandala,Pune,May,Summer,Yes,Humid,Medium,Students,No,High,Low,Medium
Elephanta Caves,Mumbai,September,Monsoon,Yes,Humid,High,Couples,Yes,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,May,Summer,No,Warm,Low,Students,No,Medium,Low,Medium
Matheran,Raigad,September,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,Medium
Pratapgad Fort,Satara,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Hot,Medium,Couples,No,High,Low,Medium
Elephanta Caves,Mumbai,August,Monsoon,No,Rainy,High,Families,Yes,Low,Low,High
Sindhudurg Fort,Sindhudurg,April,Summer,Yes,Warm,Medium,Families,Yes,High,Low,High
Daulatabad Fort,Aurangabad,December,Winter,Yes,Cool,High,Couples,Yes,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,May,Summer,No,Warm,Low,Families,No,Medium,High,Low
Shirdi,Ahmednagar,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,High,Medium
Tarkarli Beach,Sindhudurg,August,Monsoon,No,Rainy,Low,Solo Travelers,No,High,Low,High
Tarkarli Beach,Sindhudurg,January,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Medium,Medium
Matheran,Raigad,November,Post-Monsoon,No,Pleasant,Medium,Couples,No,Medium,Low,Low
Kaas Plateau,Satara,October,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,Medium
Pratapgad Fort,Satara,May,Summer,No,Humid,Low,Couples,No,Medium,Low,Medium
Panchgani,Satara,August,Monsoon,Yes,Humid,Medium,Families,Yes,Medium,Low,Low
Panchgani,Satara,September,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,High
Mahabaleshwar,Satara,August,Monsoon,No,Humid,High,Foreign Tourists,No,Low,Low,Medium
